ACSSF,2018e5,ca,000,0005,0000016,227075,190717,36358,30814,474,317,96,796,27,138,51,111,0,383,86,473,37,0,63,59,23,5,277,3,6,0,3388,1115,1154,8,1111,227075,190717,164390,3303,1738,9900,341,406,10639,289,10350,36358,21705,174,1147,251,86,9484,3511,1402,2109,227075,190717,36358
ACSSF,2018e5,ca,000,0005,0000017,45235,39938,5297,4384,103,21,0,65,19,0,0,10,0,36,0,55,38,0,0,0,10,0,7,0,0,0,669,207,330,0,132,45235,39938,36905,299,374,568,126,52,1614,19,1595,5297,4470,3,118,0,0,495,211,63,148,45235,39938,5297
ACSSF,2018e5,ca,000,0005,0000018,21464,8809,12655,11887,79,41,0,210,0,88,0,0,15,107,0,75,0,0,12,63,0,0,0,0,0,0,363,244,92,0,27,21464,8809,7672,277,159,324,53,30,294,0,294,12655,11182,85,42,0,0,1082,264,24,240,21464,8809,12655
ACSSF,2018e5,ca,000,0005,0000019,1133247,845146,288101,194361,8859,2518,491,51441,729,8496,1706,10390,879,29010,231,13867,1354,150,1246,2107,648,12,7592,243,439,76,16564,7228,3873,46,5417,1133247,845146,502951,93683,2376,182135,5251,3829,54921,1740,53181,288101,145374,3650,3153,2930,334,109147,23513,12348,11165,1133247,845146,288101
ACSSF,2018e5,ca,000,0005,0000020,27424,22084,5340,4066,144,17,0,40,4,0,0,14,0,22,0,57,0,39,0,12,0,0,0,6,0,0,1016,99,72,0,845,27424,22084,17172,758,1841,937,17,128,1231,26,1205,5340,3786,27,183,40,0,840,464,206,258,27424,22084,5340
ACSSF,2018e5,ca,000,0005,0000021,186661,163030,23631,18530,698,133,0,1585,166,241,0,98,114,966,0,678,144,41,74,102,117,16,175,0,9,0,2007,778,895,0,334,186661,163030,145990,1432,939,8237,396,184,5852,131,5721,23631,18212,62,329,54,10,3867,1097,528,569,186661,163030,23631
ACSSF,2018e5,ca,000,0005,0000022,978130,462223,515907,480432,3874,890,135,14760,78,2078,1790,702,112,9932,68,2733,482,227,256,512,397,8,647,68,88,48,13083,5716,2324,11,5032,978130,462223,291455,44474,4458,97991,1104,1864,20877,958,19919,515907,335982,2898,6503,2026,666,149386,18446,7664,10782,978130,462223,515907
ACSSF,2018e5,ca,000,0005,0000023,27897,16393,11504,10845,61,16,0,310,0,183,0,14,0,113,0,53,0,0,0,27,26,0,0,0,0,0,219,77,37,0,105,27897,16393,14507,223,414,820,17,0,412,2,410,11504,8620,32,256,0,34,2416,146,19,127,27897,16393,11504
ACSSF,2018e5,ca,000,0005,0000024,135768,120408,15360,12044,395,280,18,628,15,170,7,40,4,392,0,590,7,0,83,83,29,0,373,0,15,0,1405,545,514,0,346,135768,120408,101305,1342,5919,4049,369,258,7166,109,7057,15360,7479,243,878,111,67,5520,1062,264,798,135768,120408,15360
ACSSF,2018e5,ca,000,0005,0000025,180216,29197,151019,145350,662,192,52,1809,2,526,168,97,35,970,11,426,90,26,110,135,13,0,47,0,5,0,2528,438,204,0,1886,180216,29197,19773,3906,1076,2376,307,120,1639,41,1598,151019,96044,685,725,308,112,47242,5903,3358,2545,180216,29197,151019
ACSSF,2018e5,ca,000,0005,0000026,18085,14158,3927,3304,202,0,0,172,0,50,0,0,0,122,0,89,0,0,0,13,0,0,71,0,0,5,160,60,56,0,44,18085,14158,11389,160,1944,289,35,28,313,1,312,3927,3168,1,157,1,0,294,306,249,57,18085,14158,3927
ACSSF,2018e5,ca,000,0005,0000027,883053,417211,465842,428451,4769,942,171,17052,308,3266,1045,702,61,11659,11,2844,564,80,205,976,225,0,590,39,117,48,11613,2975,2194,53,6391,883053,417211,307030,45053,4202,40273,1153,1039,18461,1450,17011,465842,356562,3126,5286,1569,545,86079,12675,7506,5169,883053,417211,465842
ACSSF,2018e5,ca,000,0005,0000028,150075,68921,81154,77184,492,251,81,1640,0,647,153,141,76,623,0,181,23,7,6,53,43,0,49,0,0,0,1325,552,148,0,625,150075,68921,49058,8784,1227,5737,285,204,3626,177,3449,81154,49371,903,1064,209,52,26767,2788,1223,1565,150075,68921,81154
ACSSF,2018e5,ca,000,0005,0000029,64148,51318,12830,11002,252,0,23,518,0,0,140,77,27,274,0,181,60,0,47,0,7,0,12,55,0,0,854,243,464,0,147,64148,51318,45623,1426,2090,642,30,142,1365,17,1348,12830,3840,136,336,19,0,7906,593,297,296,64148,51318,12830
ACSSF,2018e5,ca,000,0005,0000030,31185,25351,5834,5508,64,16,0,117,0,17,50,13,0,37,0,5,0,0,0,0,0,0,1,0,0,4,124,93,11,0,20,31185,25351,20528,2695,847,436,205,22,618,59,559,5834,5144,43,30,1,0,568,48,38,10,31185,25351,5834
ACSSF,2018e5,ca,000,0005,0000031,10098052,5204449,4893603,3716024,45178,40402,5859,813030,10204,270589,48887,41568,5070,427674,9038,128440,19249,5416,8658,29295,20700,431,37322,1394,4509,1466,144670,31312,18590,429,94339,10098052,5204449,2659052,795505,20307,1451560,24821,29924,223280,13567,209713,4893603,2527807,28482,50220,18408,3108,2091178,174400,99736,74664,10098052,5204449,4893603
ACSSF,2018e5,ca,000,0005,0000032,155013,66207,88806,84339,512,156,71,1659,0,282,109,27,27,1206,8,108,0,10,36,14,35,0,13,0,0,0,1961,237,756,0,968,155013,66207,53531,4835,1504,3047,136,443,2711,211,2500,88806,58090,191,1001,247,33,26501,2743,2048,695,155013,66207,88806
ACSSF,2018e5,ca,000,0005,0000033,260295,218960,41335,17800,988,779,238,14976,98,10130,211,1073,71,3289,104,3151,319,164,319,570,141,0,1357,106,165,10,3403,1219,731,0,1453,260295,218960,185809,5597,435,14815,292,2453,9559,277,9282,41335,17533,112,302,185,292,19809,3102,1590,1512,260295,218960,41335
ACSSF,2018e5,ca,000,0005,0000034,17540,15631,1909,1631,56,14,0,32,0,0,8,3,0,21,0,54,12,0,18,24,0,0,0,0,0,0,122,27,49,0,46,17540,15631,14125,166,390,243,54,20,633,6,627,1909,1454,0,7,0,0,376,72,23,49,17540,15631,1909
ACSSF,2018e5,ca,000,0005,0000035,87422,65743,21679,19830,393,82,0,295,31,95,20,21,56,72,0,376,0,0,67,55,0,0,0,0,228,26,703,379,140,0,184,87422,65743,57314,511,2839,1667,170,180,3062,25,3037,21679,15807,20,752,22,0,3840,1238,252,986,87422,65743,21679
ACSSF,2018e5,ca,000,0005,0000036,269075,110581,158494,151086,1210,252,41,2657,44,813,256,253,35,1256,0,802,132,100,70,98,17,0,299,8,34,44,2446,670,306,6,1464,269075,110581,76008,8038,840,19487,556,501,5151,164,4987,158494,78368,734,1148,644,67,71651,5882,4013,1869,269075,110581,158494
ACSSF,2018e5,ca,000,0005,0000037,8938,7646,1292,1206,12,0,0,10,0,7,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,61,45,0,0,16,8938,7646,6962,149,291,130,6,4,104,8,96,1292,1084,0,7,10,0,48,143,50,93,8938,7646,1292
ACSSF,2018e5,ca,000,0005,0000038,14174,10308,3866,3545,62,0,0,140,36,30,0,2,0,72,0,24,22,0,0,0,0,0,2,0,0,0,95,82,3,0,10,14174,10308,9234,40,342,336,0,80,276,0,276,3866,2783,65,185,3,0,721,109,70,39,14174,10308,3866
ACSSF,2018e5,ca,000,0005,0000039,433212,180624,252588,235557,2367,308,19,8394,62,904,686,381,420,5919,22,1737,462,28,153,439,93,95,361,18,88,0,4206,1437,766,167,1836,433212,180624,131238,10606,1046,23647,1963,530,11594,136,11458,252588,125471,594,2175,695,48,116856,6749,3563,3186,433212,180624,252588
ACSSF,2018e5,ca,000,0005,0000040,140530,92843,47687,41357,566,146,57,2897,46,1019,45,342,189,1240,16,836,112,12,44,144,13,0,439,11,49,12,1828,571,457,0,800,140530,92843,74159,2764,326,11210,264,516,3604,220,3384,47687,28552,103,872,163,8,16222,1767,944,823,140530,92843,47687
ACSSF,2018e5,ca,000,0005,0000041,99092,89811,9281,7050,249,357,20,506,0,79,115,64,0,248,0,233,36,17,86,29,11,0,54,0,0,0,866,469,134,0,263,99092,89811,84470,601,570,989,154,130,2897,85,2812,9281,7109,54,294,19,0,1249,556,159,397,99092,89811,9281
ACSSF,2018e5,ca,000,0005,0000042,3164182,2083987,1080195,925437,13055,8940,1002,61754,2817,18372,4676,4112,993,28651,2133,38263,6278,2392,2851,8630,4053,145,10045,740,1212,1917,31744,11118,7692,210,12724,3164182,2083987,1296036,50412,6348,629637,8541,5881,87132,4236,82896,1080195,654866,4320,8118,6035,901,364798,41157,21558,19599,3164182,2083987,1080195
ACSSF,2018e5,ca,000,0005,0000043,380077,327579,52498,39564,2298,658,114,2879,166,719,215,585,77,1098,19,2216,431,119,149,589,100,0,571,22,235,0,4769,2083,1058,35,1593,380077,327579,278380,5868,1244,27196,576,403,13912,384,13528,52498,35256,329,646,339,263,11517,4148,1605,2543,380077,327579,52498
ACSSF,2018e5,ca,000,0005,0000044,18699,17070,1629,1372,93,6,0,8,0,0,0,0,0,8,0,41,23,0,0,0,14,0,4,0,0,0,109,41,17,0,51,18699,17070,15571,194,387,200,41,126,551,0,551,1629,1083,0,41,0,0,338,167,64,103,18699,17070,1629
ACSSF,2018e5,ca,000,0005,0000045,2383286,1228769,1154517,1021154,18046,6947,1339,53745,2259,17944,3016,5371,2131,22497,527,22443,2691,746,2702,5338,2840,93,6538,366,546,583,30843,9790,6270,148,14635,2383286,1228769,856468,144503,10064,147706,5846,5345,58837,2676,56161,1154517,593666,9042,9217,4424,997,489896,47275,26968,20307,2383286,1228769,1154517
ACSSF,2018e5,ca,000,0005,0000046,1510023,1162998,347025,288722,9916,2498,711,20689,613,3692,1231,3151,1187,10298,517,6562,905,405,667,1683,786,34,1593,40,390,59,17927,8175,4556,44,5152,1510023,1162998,682500,144003,5469,231740,16335,6086,76865,3086,73779,347025,193293,5061,4871,3734,380,108986,30700,14164,16536,1510023,1162998,347025
ACSSF,2018e5,ca,000,0005,0000047,59416,24168,35248,32751,200,68,21,578,0,239,26,125,79,92,17,396,63,0,33,62,9,4,219,6,0,0,1234,712,176,0,346,59416,24168,20780,434,193,1705,79,84,893,53,840,35248,28071,6,229,34,38,4951,1919,890,1029,59416,24168,35248
