"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"1600000US0651820","North El Monte CDP, California","4028","404"
"1600000US0602924","Arvin city, California","21005","25"
"1600000US0641922","Live Oak CDP, California","17390","827"
"1600000US0604996","Bell Gardens city, California","42641","26"
"1600000US0600618","Alamo CDP, California","15317","696"
"1600000US0651890","North Gate CDP, California","559","176"
"1600000US0680644","Tulare city, California","62838","61"
"1600000US0649187","Moraga town, California","17398","49"
"1600000US0659892","Red Bluff city, California","14132","57"
"1600000US0627000","Fresno city, California","522277","135"
"1600000US0646226","Mather CDP, California","4408","392"
"1600000US0648676","Monson CDP, California","380","224"
"1600000US0604632","Bear Creek CDP, California","157","101"
"1600000US0610004","Calpine CDP, California","216","108"
"1600000US0651476","Nipomo CDP, California","17445","965"
"1600000US0639318","La Honda CDP, California","711","210"
"1600000US0630000","Glendale city, California","200372","44"
"1600000US0660662","Richvale CDP, California","99","59"
"1600000US0652582","Novato city, California","55523","36"
"1600000US0656938","Piedmont city, California","11308","27"
"1600000US0636280","Imperial city, California","17175","26"
"1600000US0660606","Richgrove CDP, California","2611","273"
"1600000US0641880","Littlerock CDP, California","1766","719"
"1600000US0600450","Agua Dulce CDP, California","3728","605"
"1600000US0633861","Hilmar-Irwin CDP, California","5846","894"
"1600000US0633935","Hiouchi CDP, California","433","301"
"1600000US0631372","Groveland CDP, California","307","143"
"1600000US0619262","Dillon Beach CDP, California","219","103"
"1600000US0602210","Antelope CDP, California","47326","1255"
"1600000US0602364","Apple Valley town, California","72359","44"
"1600000US0673178","South Oroville CDP, California","3181","529"
"1600000US0630900","Greeley Hill CDP, California","687","184"
"1600000US0671106","Shafter city, California","18923","32"
"1600000US0673654","Spring Garden CDP, California","13","20"
"1600000US0660279","Reliez Valley CDP, California","3575","425"
"1600000US0662910","Rosemont CDP, California","23617","788"
"1600000US0616728","Covelo CDP, California","1165","290"
"1600000US0642580","Lone Pine CDP, California","1837","306"
"1600000US0631568","Gustine city, California","5774","29"
"1600000US0623196","Fairhaven CDP, California","145","47"
"1600000US0623462","Fallbrook CDP, California","33021","1289"
"1600000US0633532","Hidden Meadows CDP, California","3386","434"
"1600000US0662364","Rocklin city, California","63127","43"
"1600000US0650188","Myrtletown CDP, California","5290","543"
"1600000US0672996","South El Monte city, California","20727","74"
"1600000US0662854","Rosedale CDP, California","16737","1083"
"1600000US0685551","Wilkerson CDP, California","431","95"
"1600000US0646828","Mendota city, California","11393","22"
"1600000US0606928","Blackhawk CDP, California","9860","681"
"1600000US0605346","Benton CDP, California","313","120"
"1600000US0612300","Cedar Ridge CDP, California","1037","210"
"1600000US0685866","Wilsonia CDP, California","0","12"
"1600000US0621530","Edgewood CDP, California","40","26"
"1600000US0613882","Clayton city, California","11967","25"
"1600000US0611530","Carson city, California","92517","65"
"1600000US0606336","Bieber CDP, California","178","106"
"1600000US0672506","Solana Beach city, California","13370","29"
"1600000US0644924","McKittrick CDP, California","127","48"
"1600000US0633588","Highland city, California","54859","64"
"1600000US0639444","Lake Arrowhead CDP, California","9765","1086"
"1600000US0641670","Linden CDP, California","1790","399"
"1600000US0681134","Ukiah city, California","15946","39"
"1600000US0624918","Forest Ranch CDP, California","538","251"
