ACSSF,2018e5,ca,000,0001,0000001,2815000,1044000
ACSSF,2018e5,ca,000,0001,0000002,2632000,961000
ACSSF,2018e5,ca,000,0001,0000003,183000,82000
ACSSF,2018e5,ca,000,0001,0000004,2790000,1029000
ACSSF,2018e5,ca,000,0001,0000005,2745000,1009000
ACSSF,2018e5,ca,000,0001,0000006,1270000,472000
ACSSF,2018e5,ca,000,0001,0000007,1476000,537000
ACSSF,2018e5,ca,000,0001,0000008,44000,20000
ACSSF,2018e5,ca,000,0001,0000009,11500,4500
ACSSF,2018e5,ca,000,0001,0000010,32500,15500
ACSSF,2018e5,ca,000,0001,0000011,26000,14500
ACSSF,2018e5,ca,000,0001,0000012,70000,35000
ACSSF,2018e5,ca,000,0001,0000013,127000,47500
ACSSF,2018e5,ca,000,0001,0000014,300,300
ACSSF,2018e5,ca,000,0001,0000015,3300,1400
ACSSF,2018e5,ca,000,0001,0000016,17500,7400
ACSSF,2018e5,ca,000,0001,0000017,2600,1800
ACSSF,2018e5,ca,000,0001,0000018,1900,800
ACSSF,2018e5,ca,000,0001,0000019,75000,28000
ACSSF,2018e5,ca,000,0001,0000020,2500,950
ACSSF,2018e5,ca,000,0001,0000021,13000,6500
ACSSF,2018e5,ca,000,0001,0000022,67500,24000
ACSSF,2018e5,ca,000,0001,0000023,2500,1100
ACSSF,2018e5,ca,000,0001,0000024,11000,5200
ACSSF,2018e5,ca,000,0001,0000025,11000,3700
ACSSF,2018e5,ca,000,0001,0000026,2500,1300
ACSSF,2018e5,ca,000,0001,0000027,55000,18500
ACSSF,2018e5,ca,000,0001,0000028,12500,3200
ACSSF,2018e5,ca,000,0001,0000029,4000,2100
ACSSF,2018e5,ca,000,0001,0000030,4400,1400
ACSSF,2018e5,ca,000,0001,0000031,764000,274000
ACSSF,2018e5,ca,000,0001,0000032,9700,3100
ACSSF,2018e5,ca,000,0001,0000033,18000,7600
ACSSF,2018e5,ca,000,0001,0000034,1500,750
ACSSF,2018e5,ca,000,0001,0000035,6700,3100
ACSSF,2018e5,ca,000,0001,0000036,18000,6000
ACSSF,2018e5,ca,000,0001,0000037,950,550
ACSSF,2018e5,ca,000,0001,0000038,700,700
ACSSF,2018e5,ca,000,0001,0000039,32000,11000
ACSSF,2018e5,ca,000,0001,0000040,13000,5300
ACSSF,2018e5,ca,000,0001,0000041,6800,3400
ACSSF,2018e5,ca,000,0001,0000042,222000,78000
ACSSF,2018e5,ca,000,0001,0000043,29000,13000
ACSSF,2018e5,ca,000,0001,0000044,1500,1300
ACSSF,2018e5,ca,000,0001,0000045,167000,65000
ACSSF,2018e5,ca,000,0001,0000046,109000,42000
ACSSF,2018e5,ca,000,0001,0000047,5100,1800
ACSSF,2018e5,ca,000,0001,0000048,134000,48000
ACSSF,2018e5,ca,000,0001,0000049,221000,83000
ACSSF,2018e5,ca,000,0001,0000050,59500,26000
ACSSF,2018e5,ca,000,0001,0000051,52000,18000
ACSSF,2018e5,ca,000,0001,0000052,19000,7800
ACSSF,2018e5,ca,000,0001,0000053,56500,21000
ACSSF,2018e5,ca,000,0001,0000054,32000,11500
ACSSF,2018e5,ca,000,0001,0000055,145000,50500
ACSSF,2018e5,ca,000,0001,0000056,19000,7100
ACSSF,2018e5,ca,000,0001,0000057,15500,6900
ACSSF,2018e5,ca,000,0001,0000058,300,200
ACSSF,2018e5,ca,000,0001,0000059,6600,3600
ACSSF,2018e5,ca,000,0001,0000060,32000,11500
ACSSF,2018e5,ca,000,0001,0000061,35500,15500
ACSSF,2018e5,ca,000,0001,0000062,35000,12500
ACSSF,2018e5,ca,000,0001,0000063,8000,3000
ACSSF,2018e5,ca,000,0001,0000064,4600,2100
ACSSF,2018e5,ca,000,0001,0000065,1200,1000
ACSSF,2018e5,ca,000,0001,0000066,32500,11000
ACSSF,2018e5,ca,000,0001,0000067,4100,1900
ACSSF,2018e5,ca,000,0001,0000068,63000,22500
ACSSF,2018e5,ca,000,0001,0000069,15000,5500
ACSSF,2018e5,ca,000,0001,0000070,5100,1900
ACSSF,2018e5,ca,000,0001,0000071,5800,2400
ACSSF,2018e5,ca,000,0001,0000072,13500,5200
ACSSF,2018e5,ca,000,0001,0000073,27500,9200
ACSSF,2018e5,ca,000,0001,0000074,28000,9800
ACSSF,2018e5,ca,000,0001,0000075,17000,6200
ACSSF,2018e5,ca,000,0001,0000076,34500,14500
ACSSF,2018e5,ca,000,0001,0000077,300,300
ACSSF,2018e5,ca,000,0001,0000078,1300,300
ACSSF,2018e5,ca,000,0001,0000079,600,250
ACSSF,2018e5,ca,000,0001,0000080,700,450
ACSSF,2018e5,ca,000,0001,0000081,700,350
ACSSF,2018e5,ca,000,0001,0000082,450,150
ACSSF,2018e5,ca,000,0001,0000083,8300,3500
ACSSF,2018e5,ca,000,0001,0000084,250,100
ACSSF,2018e5,ca,000,0001,0000085,700,400
ACSSF,2018e5,ca,000,0001,0000086,1000,400
ACSSF,2018e5,ca,000,0001,0000087,3100,1200
ACSSF,2018e5,ca,000,0001,0000088,850,350
ACSSF,2018e5,ca,000,0001,0000089,2700,1200
ACSSF,2018e5,ca,000,0001,0000090,900,500
ACSSF,2018e5,ca,000,0001,0000091,700,850
ACSSF,2018e5,ca,000,0001,0000092,1100,450
ACSSF,2018e5,ca,000,0001,0000093,950,350
ACSSF,2018e5,ca,000,0001,0000094,800,350
ACSSF,2018e5,ca,000,0001,0000095,150,100
ACSSF,2018e5,ca,000,0001,0000096,10000,3400
ACSSF,2018e5,ca,000,0001,0000097,450,150
